"b'Desain Istana Negara Ibukota Baru Dikritik, Guspardi Gaus: Seharusnya Disayembarakan Dahulu https://t.co/HR5h1hx9lj #Terbaru #berita #live #trending'",IDNpos.com
b'GG PAN Minta Desain Istana Negara Lebih Partisipatif https://t.co/BuMkuip5sx',GoNewsco
b'Desain Istana Negara baru tersebut bahkan disebut jauh dari peradaban kemajuan bangsa di era digital. Simak selengkapnya dalam infografik berikut atau klik https://t.co/8HgWWGsnsj #infographicOne #IstanaNegaraBaru #IbuKotaNegaraBaru #Kalimantan #INyomanNuarta #NyomanNuarta https://t.co/It3K0TVtaz',tvOneNews
b'Pemilihan desain Istana Negara baru karya I Nyoman Nuarta menuai polemik. Hal ini dipicu karena pemilihan desain tanpa melalui sayembara terbuka. 5 Asosiasi Arsitek menyampaikan kritik terhadap tertutupnya sayembara dan proses pemilihan desain. #infographicOne #IstanaNegaraBaru https://t.co/K7TxAcwgo2',tvOneNews
b'@EnggalPMT Desain istana negara yang baru yak? https://t.co/RLALPDyCeu',Andifa Putra
b'Bingung bet dah di Indo jelas jelas arsitek ada oraganisasi arsitek juga ada tapi kenapa pra desain istana negara dan masjid agung ibukota baru malah yang desain pemahat patung ya',bingaria
"b'baru liat rancangan desain istana negara di ibu kota baru,bentuknya kaya ga asing ya. oh iya kaya panggung dwp dipha barus.'",sf
"b'Bahas Desain Istana Negara, Suharso Kumpulkan Arsitek dan Perencana https://t.co/LYGXrFRNSz'",Jawa Pos
"b'#mostpop Kepala Bappenas Suharso Monoarfa akhirnya bertemu dengan arsitek yang tergabung dalam 5 asosiasi, salah satunya bahas desain burung garuda di Istana Negara. https://t.co/CPL6aGGmcy'",DetikFinance
"b'Kepala Bappenas Suharso Monoarfa akhirnya bertemu dengan arsitek yang tergabung dalam 5 asosiasi, salah satunya bahas desain burung garuda di Istana Negara. https://t.co/g2Tpt89bqZ'",DetikFinance
"b'Kepala Bappenas Suharso Monoarfa akhirnya bertemu dengan arsitek yang tergabung dalam 5 asosiasi, salah satunya bahas desain burung garuda di Istana Negara. https://t.co/wJw0PmdIt5'",detikcom
b'@jokowi sebaiknya desain istana di ibukota baru manfaatkan budaya daerah dayak untuk lestarikan adat+budaya dayak &amp; penghormatan sebagai pendatang ke rumah orang serta pemerintah harus beri contoh penggunaan lambang negara yg baik &amp; pantas.\nhttps://t.co/f5l7tbBc9h',Franky Tts
"b'Ada netizen menilai desain Istana Negara karya Nyoman Nuarta di ibu kota baru, mirip panggung DWP 2019. Apa iya? Coba kita bandingkan. https://t.co/da5eOiyC0k'",kumparan
b'Inilah Pradesain Istana Negara di Ibu Kota yg baru \nKarya seniman patung kenamaan Nyoman Nuarta \nWow keren desain nya\xf0\x9f\x91\x8d\xf0\x9f\x98\x8d\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\x87\xae\xf0\x9f\x87\xa9 https://t.co/L9JP6F4mZ8',Dianty_Yasmin3
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/d8sVihpP8g https://t.co/cKIN5Oje6U'",102FM Prambors SMG
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/t1YkHNs6fR https://t.co/eLyPLOEFTk'",95.8 FM Prambors Jogja
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/jc8cel5aar https://t.co/HoZSAAhrvH'",prambors
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/AopB8ZhPxt https://t.co/h7tOxPyDDw'",105.1FM Prambors Makassar
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/VdSCTurYxP https://t.co/1PVMj1SHl5'",98.4 FM Prambors BDG
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/QfHDGuK3ps https://t.co/lwLzKKz4zc'",97.5FM Prambors MDN
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/xVPk8bF9Hi https://t.co/VlPMxJCfma'",89.3FM Prambors SBY
"b'Selesai desain istana negara, Nyoman Nuarta pamerin rancangan Masjid Agung! Belom pasti direalisasikan sih, tapi ada yang lo suka dari desain ini nggak, Kawula Muda?\n\n#PramborsNews \n\nhttps://t.co/M5YOFcgdYS https://t.co/gUo3Sw2fmF'",99.2FM Prambors Solo
"b'Ngapa jadi arsitek yang pusing ama desain istana negara ibu kota baru, harusnya mah engineer sipilnya lah hahaha'",Muhammad Agung
b'Menurut info seperti ini penampakan desain Istana Negara...\n\n#NusantaraBukanKhilafah https://t.co/7dPtoseryn',༺ ꦤꦶꦠ ༻
b'Suharso Manoarfa: Desain Ibu Kota Negara dan Istana Negara Perlu Banyak Diskusi https://t.co/44tuEeXD8Q',Jurnaltoday.id
"b'Bahas Desain Istana Negara Ibu Kota Baru, Kepala Bappenas Kumpulkan Arsitek https://t.co/r6PzoNywTC'",Berita Properti
b'Jokowi minta masukan masyarakat untuk pengkayaan desain Istana Negara\n\n#DesainIstanaNegara\n#IbukotaBaru\n#BurungGaruda #Pancasila\n#BhinekaTunggalIka\n\nhttps://t.co/avIMjgLCvo',Lentera Citra 🇮🇩
b'PRA DESAIN ISTANA NEGARA \nkeren bgt ngetttt !!\naku dukunggg\xf0\x9f\x98\x9d',stroberibala
b'Desain Istana Negara Masuki Tahap Gagasan Awal https://t.co/uEp3G58yZP',SUARAMERDEKA.COM
"b'@IMCMushroom Desain Burung garuda cocoknya untuk museum, bukan untuk ISTANA NEGARA'",CINDAKU MALALAK
"b'Bahas Desain Istana Negara Ibu Kota Baru, Kepala Bappenas Kumpulkan Arsitek #LengkapCepatBeritanya #Keuangan #Ekonomi #InfoProperty #Property . https://t.co/PCjWtr2AGQ'",Okezone
"b'Pemilihan desain Istana Negara baru, karya I Nyoman Nuarta menuai polemik. 5 Asosiasi Arsitek menyampaikan kritik atas desain istana negara yang disebut tidak mencerminkan kemajuan peradaban bangsa diera digital https://t.co/DpV4oBjAub #NewsOne #IstanaNegaraBaru #NyomanNuarta https://t.co/Z2sJSQFYKW'",tvOneNews
"b'Ridwan Kamil Posting Desain Istana Negara di Ibu Kota Baru, Ini Komentar Netizen https://t.co/vUIii5EaSu'",depokrayanews.com
"b'Ridwan Kamil Posting Desain Istana Negara di Ibu Kota Baru, Ini Komentar\xc2\xa0Netizen https://t.co/vUIii5mA0W'",depokrayanews.com
b'@AzahraNuralika bisa-bisanya dikejar 12 hari buat 12 desain \xf0\x9f\x98\xb1\nhttps://t.co/Tp8EQ8lq9Q',zufazka
"b'Jokowi Minta Masukan Desain Bangunan Ibu Kota Negara Baru, Ini Deretan Istana Presiden Terindah di Dunia \nhttps://t.co/9mUQuk3GXo'",iNews.id
"b'Jokowi Minta Masukan Desain Bangunan Ibu Kota Negara Baru, Ini Deretan Istana Presiden Terindah di Dunia https://t.co/dz6FTY30iv'",iNews
b'Desain Istana Negara Baru Karya I Nyoman Nuarta Tuai Polemik | tvOne https://t.co/2QAHnMFaR0',tvOneNews
b'Desain Istana Negara Baru Karya I Nyoman Nuarta Tuai Polemik | tvOne https://t.co/eZEHwooEfQ https://t.co/PRlBLotxrK',Ahmad Nor Maulana Af
"b'desain istana negara aja selesai dalam 12 hari, ta bisa juga dikebut siah'",zufazka
b'Arsitek Profesional Siap Beri Masukan Soal Desain Istana Negara yang\xc2\xa0Baru https://t.co/AcWxwzL9iq',Bimata Indonesia
"b'Setelah Istana Negara, Nyoman Nuarta Ungkap Desain Masjid Agung Ibu Kota Baru https://t.co/G6QUYvfWxe'",Liputan6.com
"b'Desain Istana Negara Garuda Ramai Dikritik, Iwan Fals: Terserah Bentuknya Kayak Apa, yang Jelas Berfungsi https://t.co/NSmE3Nmfxq'",Jitunews
"b'Kementerian PUPR memutuskan karya seniman patung Nyoman Nuarta memenangkan sayembara desain istana negara di ibu kota baru, Kalimantan Timur. Berikut profil dari Nyoman Nuarta.\n\nhttps://t.co/CqI5RpqtVh'",Katadata.co.id
"b'@satepadangenaak iyaa simbol negara, tapi gak cocok untuk dibuat desain istana negara dan jatuhnya kayak desain dwp'",null
"b'Beredar Pra-desain Istana Negara Kalimantan Timur, Modern dengan Dikelilingi Pohon dan Sungai https://t.co/GkjDWNlPzF https://t.co/9AEVwlqOaB'",Produk Medan
"b'Desain Garuda Istana Negara Ibu Kota Baru, Netizen: Seharusnya Patung Para Presiden Layaknya Hokage #IstanaNegara #DesainGarudaIstanaNegara https://t.co/DfeyK93aVX https://t.co/2v5iP0bRDt'",BaBe - Baca Berita
"b'\xf0\x9f\x93\xb7 Saya gak setuju\xe2\x80\xa6bagaimana dengan kalian? https://t.co/UBhEwEHaO2 (at Jakarta, Indonesia)... https://t.co/cEE9XXdSpA'",Mubarik•
"b'Saya gak setuju...bagaimana dengan kalian?\n\nhttps://t.co/UBhEwEYLFA @ Jakarta, Indonesia https://t.co/GkhM0d9sxK'",Mubarik•
"b'Wih keren bgt tu Desain istana negara di Kalimanta \xf0\x9f\x98\xb1 wah kalimantan ntar jdi ibu kota \xf0\x9f\x98\xad gua di kalimantan utara mau ke kaltim lah ntr nyari kerjaan \xf0\x9f\x98\x86 mana tau ntr banyak oppa oppa jalan"" kesono xixixixi.'",Tae Yong | Tika
b'Jokowi Pamer Desain Istana Negara Berbentuk Burung Garuda: Dikritik Arsitek hingga Respons Bappenas\n \nhttps://t.co/rwBGt30pBR via @tribunnews',Tribunnews.com
"b'Desain baru istana negara dibuat mirip garuda, semoga dananya gak dikorup, takutnya ntar malah mirip ayam kalo kena korup'",pie
"b'Ada temuan kalau perekrutan kelompok teroris melalui sosial media, lho. Ngomongin sosmed, skrg kita diawasi polisi virtual. Udah tahu? Terus, desain istana negara ibu kota baru jadi ramai dibicarakan warganet lho.\n\nMengapa? \nhttps://t.co/I0rcfqO55w\n\n#FomoSapiens #PodcastIndonesia https://t.co/kePJo7M7k2'",KBR
"b'@Greschinov Iya kak, dari desain istananya seperti istana kekaisaran zaman dulu. Istana negara kita lebih bagus, dikelilingi hutan...'",Nuga
"b'Desain Istana Negara Garuda Ramai Dikritik, Iwan Fals: Terserah Bentuknya Kayak Apa, yang Jelas Berfungsi https://t.co/VbT44V3VWc https://t.co/T47jV8A4ju'",liadarma
"b'Pemenang Sayembara Desain Istana Negara Ibu Kota Baru: Nggak Nyangka, Saya Biasanya Sering Kalah\n \nhttps://t.co/ruGMELuUNr via @tribunnews'",Tribunnews.com
"b'Desain istana negara yang bagus itu ya menampilkan keindahan arsitektur, bukan malah nampilin sosok burung segede mungkin karena jatuhnya terkesan norak.\nIni istana negara Tajikistan, Laos, Uni Emirat Arab, dan Turki. Indahnya dapet, kearifan lokalnya juga dapet. Ngga norak. https://t.co/2VKsV2FKHG'",erlangga greschinov.
b'Desain gedung istana negara yang bentuknya garuda emang same energy sama stage backdropnya DWP ya https://t.co/r4bJk6AmJi',アンド nekostoreid
"b'@yhabetul Balik ke selera sih, aku jg suka desainnya krn emg bagus bgt, tp buat sebuah istana negara aku lebih prefer ke desain yg sederhana tp agung dan megah, krn itu representasi dr pemimpin itu sendiri biar ga terlalu terkesan jomplang antara rakyat dan pejabat'",Iky
b'@_BangFu @ramotgun @satriaprbw Mau bikin desain istana negara di ibukota baru...',Ucup Carrick
b'emang kenapa desain istana negara bentuk garudanya?? kok aku liatnya cakeupp',maya gk?
"b'Desain Garuda Istana Negara Ibu Kota Baru, Netizen: Seharusnya Patung Para Presiden Layaknya Hokage https://t.co/irUlNZHM1j'",Berita Properti
"b'Udah bilang dari dulu kalau profesi arsitek di Indonesia jarang dihargai dan itu terbukti. Siapa sangka desain istana negara yang baru malah didesain oleh pemahat patung, bukanlah arsitek?'",Helmy
"b'12 konsep \n12 arsitek\n12 hari tenggat waktu presentasi... \n\nkenapa 12? \n\nPemenang Sayembara Desain Istana Negara Ibu Kota Baru: Nggak Nyangka, Saya Biasanya Sering Kalah - https://t.co/LK3MFCVojN https://t.co/lGTo6cvjOi'",#RAPyat
b'@KompasTV seribu argumen menilai rancangan Pra Desain Istana Negara di IKN tergantung kejernihan cara berfikirnya manusianya. klo sdh dirasuki negatif tingking ya outputnya pastilah negatif.....tpi mudah2an rakyat kita masih banyak yg waras',supra20618
b'12 hari 12 tipologi sekaligus wow panitianya menganut prinsip Bandung bondowoso kali ya ini. \n\nhttps://t.co/uSZnSWUG00',🦀
